,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
25,document,"Role: Technical writer specializing in technology documentation.
Task: Create a user manual section for create training video content.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,89,B,0.2,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,377,45,80.74,B,Good,0,0,0.0
26,post,"Role: Content creator for operations communities.
Task: Write a Twitter thread about build API integration.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,94,A,0.16,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,306,41,86.69,A,Excellent,0,0,0.0
27,other,Develop framework for analyze supply chain efficiency in sales environment.,medium,71,C,0.44,3,2,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,75,10,46.19,D,Poor,1,1,0.1
28,image,Generate images about design mobile app interface. Use appropriate colors for manufacturing industry.,medium,78,C,0.5,2,4,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,101,13,51.91,D,Poor,0,0,0.0
29,data_analysis,Review create vendor evaluation criteria metrics for sports performance. Find trends.,medium,77,C,0.32,3,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,85,11,60.81,C,Average,0,0,0.0
30,video,Script needed for create policy compliance guide video. Educational content for government beginners.,medium,77,C,0.46,2,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,101,13,45.62,D,Poor,0,0,0.0
31,video,Script needed for analyze market trends video. Educational content for strategy beginners.,medium,81,B,0.44,4,4,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,90,12,64.04,C,Average,1,1,0.08333333333333333
32,data_analysis,stats on generate monthly sales reports,low,30,F,0.65,1,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,39,6,32.17,F,Very Poor,0,0,0.0
33,post,"Role: Community manager for consulting forums.
Task: Draft an announcement post about create investor pitch materials.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,89,B,0.18,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,318,38,77.46,B,Good,0,0,0.0
34,email,"Role: Customer success manager in engineering industry.
Task: Draft a response to a customer complaint about analyze website traffic patterns.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,90,A,0.12,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,355,42,88.1,A,Excellent,1,1,0.023809523809523808
35,image,analyze supply chain efficiency visual,low,60,D,0.9,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,38,5,22.91,F,Very Poor,1,1,0.2
36,data_analysis,"Role: Business intelligence analyst for product management operations.
Task: Create a dashboard specification for tracking create FAQ document.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,91,A,0.17,4,5,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,375,42,82.15,B,Good,0,0,0.0
37,code,develop project timeline script needed asap,low,45,F,0.63,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,43,6,32.32,F,Very Poor,0,0,0.0
38,document,"Role: Technical writer specializing in real estate documentation.
Task: Create a user manual section for design marketing campaign visuals.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,87,B,0.18,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,382,46,85.62,A,Excellent,0,0,0.0
39,creative,Draft narrative about develop mobile responsiveness fix set in legal world.,medium,70,C,0.53,4,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,75,11,54.32,D,Poor,0,0,0.0
40,report,analysis of automate data entry processes,low,60,D,0.66,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,41,6,22.67,F,Very Poor,0,0,0.0
41,other,help with create crisis management protocol,low,55,F,0.61,2,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,43,6,35.91,F,Very Poor,0,0,0.0
42,other,Outline approach to design email newsletter template for engineering initiative.,medium,77,C,0.54,2,3,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,80,10,44.07,D,Poor,0,0,0.0
43,code,"Role: Senior developer specializing in nonprofit systems.
Task: Debug and optimize the following code that implement payment processing.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,87,B,0.13,5,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,369,47,79.07,B,Good,1,2,0.0425531914893617
44,code,"Role: Senior developer specializing in design systems.
Task: Debug and optimize the following code that create user survey questions.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,92,A,0.13,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,366,48,87.76,A,Excellent,1,2,0.041666666666666664
45,other,Outline approach to analyze product usage metrics for education initiative.,medium,80,B,0.52,4,4,2,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,75,10,51.12,D,Poor,1,1,0.1
46,data_analysis,Review create crisis management protocol metrics for strategy performance. Find trends.,medium,78,C,0.51,4,4,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,87,11,58.12,C,Average,0,0,0.0
47,document,"Role: Technical writer specializing in legal documentation.
Task: Create a user manual section for analyze churn rate factors.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,86,B,0.13,5,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,369,45,87.51,A,Excellent,1,1,0.022222222222222223
48,report,"Role: Senior analyst for retail research.
Task: Write an executive summary for a report on create policy compliance guide.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,87,B,0.19,4,5,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,318,42,85.45,A,Excellent,0,0,0.0
49,image,"Role: UI/UX designer for technology products.
Task: Design a mockup for automate data entry processes.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,96,A,0.06,4,4,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,304,41,86.28,A,Excellent,0,0,0.0
50,email,"Role: Executive assistant supporting sales leadership.
Task: Write a meeting request email for create competitor analysis.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,89,B,0.13,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,349,47,87.88,A,Excellent,1,1,0.02127659574468085
51,video,Script needed for write grant proposal video. Educational content for transportation beginners.,medium,81,B,0.53,2,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,95,12,47.47,D,Poor,0,0,0.0
52,report,"Role: Senior analyst for marketing research.
Task: Write an executive summary for a report on write customer case study.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,92,A,0.09,4,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,316,42,84.91,B,Good,0,0,0.0
53,presentation,create competitor analysis talk slides,low,51,F,0.77,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,38,5,24.56,F,Very Poor,0,0,0.0
54,creative,Write creative piece about create FAQ document in media context. Engaging style.,medium,76,C,0.48,2,3,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,80,12,55.91,C,Average,0,0,0.0
55,other,"Role: Strategy consultant for agriculture organizations.
Task: Develop a strategic recommendation for design webinar presentation.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,97,A,0.2,4,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,364,40,80.79,B,Good,0,0,0.0
56,creative,Create story featuring analyze supply chain efficiency for real estate audience. 500 words.,medium,71,C,0.49,3,4,2,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,91,13,51.99,D,Poor,1,1,0.07692307692307693
57,data_analysis,analyze market trends data check,low,52,F,0.65,2,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,32,5,31.99,F,Very Poor,1,1,0.2
58,presentation,"Role: Training facilitator for technology programs.
Task: Design a workshop presentation on generate monthly sales reports.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,88,B,0.22,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,328,40,84.02,B,Good,0,0,0.0
59,document,build chatbot for customer support paper needed,low,51,F,0.86,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,47,7,26.05,F,Very Poor,0,0,0.0
60,document,Write documentation for build data pipeline in manufacturing setting. Clear and thorough.,medium,69,D,0.49,4,2,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,89,12,48.25,D,Poor,0,0,0.0
61,report,analyze market trends review,low,29,F,0.73,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,28,4,28.01,F,Very Poor,1,1,0.25
62,presentation,Slides needed: optimize database queries overview for marketing team meeting.,medium,75,C,0.51,4,4,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,77,10,58.12,C,Average,0,0,0.0
63,other,"Role: Project manager for operations initiatives.
Task: Create a project plan for create vendor evaluation criteria.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,92,A,0.15,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,309,40,86.86,A,Excellent,1,1,0.025
64,post,Draft announcement about analyze product usage metrics for technology community.,medium,66,D,0.44,4,3,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,80,10,49.65,D,Poor,1,1,0.1
65,post,Create content about develop quality assurance checklist for nonprofit blog. Informative but casual.,medium,73,C,0.46,2,2,2,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,100,13,38.67,F,Very Poor,1,1,0.07692307692307693
66,report,analysis of write technical documentation,low,38,F,0.63,1,2,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,41,5,32.49,F,Very Poor,0,0,0.0
67,document,Draft document explaining develop content calendar to hospitality audience.,medium,67,D,0.53,2,4,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,75,9,47.76,D,Poor,1,1,0.1111111111111111
68,email,write analyze employee satisfaction data mail,low,32,F,0.69,1,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,45,6,28.56,F,Very Poor,1,1,0.16666666666666666
69,code,I need a function that can design marketing campaign visuals. It should be in Python and work for strategy data.,medium,65,D,0.53,3,2,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,112,20,50.76,D,Poor,0,0,0.0
70,report,"Role: Compliance auditor for consulting operations.
Task: Prepare an audit report on write job description.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,98,A,0.09,4,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,325,42,80.6,B,Good,0,0,0.0
71,email,"Role: Executive assistant supporting engineering leadership.
Task: Write a meeting request email for write executive briefing.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,85,B,0.14,5,5,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,353,47,87.28,A,Excellent,1,1,0.02127659574468085
72,image,"Role: Professional graphic designer specializing in energy visuals.
Task: Create an image depicting develop risk assessment framework.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,91,A,0.22,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,380,47,88.22,A,Excellent,0,0,0.0
73,document,Draft document explaining write press release to government audience.,medium,76,C,0.41,3,4,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,69,9,65.29,C,Average,1,1,0.1111111111111111
74,code,Write code to write grant proposal for a customer service application. Make sure it works well and handles errors.,medium,81,B,0.5,2,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,114,19,51.92,D,Poor,1,1,0.05263157894736842
75,data_analysis,Review build chatbot for customer support metrics for manufacturing performance. Find trends.,medium,66,D,0.45,3,3,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,93,12,60.26,C,Average,0,0,0.0
76,video,"Role: Corporate video director for engineering communications.
Task: Plan a promotional video showcasing develop content calendar.
Instructions: Highlight key benefits, include testimonials structure.
Constraints: 90 seconds maximum, professional tone.
Output Format: Concept summary + shot list + script outline.",high,97,A,0.16,4,5,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,317,39,78.2,B,Good,1,2,0.05128205128205128
77,data_analysis,Review create crisis management protocol metrics for science performance. Find trends.,medium,73,C,0.47,4,3,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,86,11,63.02,C,Average,0,0,0.0
78,data_analysis,"Role: Business intelligence analyst for media operations.
Task: Create a dashboard specification for tracking develop quality assurance checklist.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,88,B,0.23,4,4,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,378,42,83.62,B,Good,1,1,0.023809523809523808
79,code,"Role: Senior developer specializing in science systems.
Task: Debug and optimize the following code that design email newsletter template.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,93,A,0.24,5,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,371,48,83.32,B,Good,1,2,0.041666666666666664
80,creative,write build dashboard for KPI tracking thing,low,43,F,0.92,2,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,44,7,30.21,F,Very Poor,0,0,0.0
81,data_analysis,Data task: design marketing campaign visuals analysis for science report.,medium,83,B,0.51,4,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,73,10,51.11,D,Poor,0,0,0.0
82,code,I need a function that can design mobile app interface. It should be in Python and work for transportation data.,medium,72,C,0.33,3,4,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,112,20,64.11,C,Average,0,0,0.0
83,code,fix my code about analyze supply chain efficiency,low,53,F,0.77,2,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,49,8,30.06,F,Very Poor,1,2,0.25
84,other,Plan implement payment processing for human resources project. Include timeline and resources.,medium,76,C,0.35,3,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,94,12,51.98,D,Poor,0,0,0.0
85,video,clip showing create policy compliance guide,low,31,F,0.72,2,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,43,6,27.99,F,Very Poor,1,1,0.16666666666666666
86,presentation,powerpoint build recommendation engine,low,26,F,0.73,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,38,4,30.71,F,Very Poor,0,0,0.0
87,post,Write social post about develop content calendar for nonprofit company. Engaging tone.,medium,69,D,0.32,2,4,4,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,86,12,60.86,C,Average,0,0,0.0
88,email,Email needed: create employee onboarding materials proposal for technology prospect.,medium,72,C,0.36,2,3,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,84,10,55.8,C,Average,0,0,0.0
89,image,draw create investor pitch materials,low,53,F,0.87,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,36,5,26.06,F,Very Poor,0,0,0.0
90,video,make create competitor analysis video,low,38,F,0.94,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,37,5,24.98,F,Very Poor,0,0,0.0
91,email,Write email about create stakeholder communication plan to engineering client. Professional tone.,medium,67,D,0.35,2,3,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,97,12,44.57,D,Poor,0,0,0.0
92,video,video about write customer case study,low,38,F,0.74,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,37,6,27.75,F,Very Poor,0,0,0.0
93,post,Post needed: design event invitation update for entertainment followers.,medium,81,B,0.41,3,3,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,72,9,54.37,D,Poor,0,0,0.0
94,code,"Create a script for design logo and brand identity. Requirements: efficient, documented, tested.",medium,82,B,0.47,4,3,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,96,13,52.51,D,Poor,0,0,0.0
95,video,Plan a video showing analyze churn rate factors. This is for our technology department.,medium,68,D,0.49,2,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,87,14,52.2,D,Poor,1,2,0.14285714285714285
96,code,"Create a script for design mobile app interface. Requirements: efficient, documented, tested.",medium,75,C,0.45,3,2,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,93,12,52.96,D,Poor,0,0,0.0
97,presentation,"Role: Executive presentation designer for nonprofit consulting.
Task: Create a 12-slide deck about develop mobile responsiveness fix.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,85,B,0.21,5,5,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,349,45,88.6,A,Excellent,0,0,0.0
98,report,Research and report on implement payment processing affecting education operations.,medium,78,C,0.52,4,4,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,83,10,61.29,C,Average,0,0,0.0
99,report,"Role: Senior analyst for engineering research.
Task: Write an executive summary for a report on write customer case study.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,90,A,0.13,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,318,42,87.75,A,Excellent,0,0,0.0
100,image,I need visuals showing analyze customer feedback patterns. These are for a transportation presentation.,medium,71,C,0.33,2,3,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,103,14,52.52,D,Poor,1,2,0.14285714285714285
101,document,analyze supply chain efficiency writeup,low,57,F,0.74,1,1,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,39,5,27.75,F,Very Poor,1,1,0.2
102,post,Post needed: analyze customer feedback patterns update for energy followers.,medium,72,C,0.44,4,3,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,76,10,64.05,C,Average,1,1,0.1
103,email,reply to analyze churn rate factors,low,42,F,0.79,1,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,35,6,21.47,F,Very Poor,1,1,0.16666666666666666
